pdb_id,max_dist,apix
8g0a,229.976,1.7827596899224807
6pwh,72.571,1.0
5xmx,97.81,1.0
1yeh,82.49000000000001,1.0
3m8n,103.91999999999999,1.0
6zyu,99.482,1.0
3iyf,175.816,1.3629147286821706
3wdt,103.261,1.0
5knp,75.569,1.0
7ar9,207.26899999999998,1.6067364341085268
4n5e,95.97,1.0
3a9s,115.475,1.0
3kg1,60.807,1.0
4o45,52.946,1.0
4xvw,229.883,1.7820387596899225
2hjm,67.62599999999999,1.0
1r1l,106.352,1.0
4lhc,114.24499999999999,1.0
5o3g,63.547,1.0
3nwc,71.335,1.0
8sos,99.667,1.0
3rmd,171.246,1.3274883720930233
6b6z,84.467,1.0
6by3,100.582,1.0
1d8l,62.60600000000001,1.0
7k2x,113.22500000000001,1.0
5u4e,55.605000000000004,1.0
3vdh,85.653,1.0
7nmh,53.615,1.0
6e2j,144.3,1.1186046511627907
8f0i,109.035,1.0
4mq6,84.289,1.0
4e51,89.917,1.0
2z5n,113.57600000000001,1.0
1z8h,79.71699999999998,1.0
6thh,112.278,1.0
2cxp,85.332,1.0
3lq2,97.501,1.0
6zzu,107.119,1.0
7p8z,77.633,1.0
6a9u,75.905,1.0
3s2q,38.928,1.0
1sds,101.62400000000001,1.0
6zlu,191.894,1.4875503875968992
4oyt,148.133,1.1483178294573644
2ynw,70.018,1.0
2z3q,84.072,1.0
2e77,110.887,1.0
6wfj,121.526,1.0
2zkt,117.419,1.0
1v6p,42.297,1.0
6s8n,97.939,1.0
5gvy,59.65899999999999,1.0
1psb,81.60300000000001,1.0
3tya,94.39099999999999,1.0
2cam,58.45099999999999,1.0
4z6w,100.811,1.0
5vg2,95.063,1.0
4cw7,113.003,1.0
3kik,95.138,1.0
2o6l,71.143,1.0
2hup,70.023,1.0
2lqh,47.913,1.0
1r4n,178.735,1.385542635658915
4io4,87.532,1.0
4zuv,111.911,1.0
7aw5,72.644,1.0
6pab,129.12,1.0009302325581395
4kmm,90.108,1.0
2pmw,77.58500000000001,1.0
6m1y,254.253,1.970953488372093
1shy,93.037,1.0
7tba,200.32600000000002,1.5529147286821707
